"","c1","c3","c4","c5","c6","c7","c8","c9","c10","c11"
"221",NA,NA,NA,"Bra022585","Bra023045","Bra017162","Bra023490",NA,"Bra027456",NA
"222",NA,NA,NA,"Bra022593","Bra023056,tRNA-Tyr","Bra017182","Bra023498",NA,"Bra027911",NA
"223",NA,NA,NA,"Bra022760","Bra023061","Bra017267,Bra017268","Bra023545",NA,"Bra027985,Bra027986",NA
"224",NA,NA,NA,"Bra022815","Bra023435","Bra017566","Bra023575",NA,"Bra028189",NA
"225",NA,NA,NA,"Bra022878","Bra023492","Bra017666","Bra023598",NA,"Bra028367",NA
"226",NA,NA,NA,"Bra023104","Bra023563","Bra017781","Bra023673",NA,"Bra028546",NA
"227",NA,NA,NA,"Bra023227","Bra023597,Bra023599","Bra017855","Bra023706,Bra023707",NA,"Bra028708",NA
"228",NA,NA,NA,"Bra023446","Bra023685","Bra017916","Bra023719,Bra023720",NA,"Bra028778",NA
"229",NA,NA,NA,"Bra023503","Bra023900","Bra017949,Bra017951","Bra023978",NA,"Bra028796",NA
"230",NA,NA,NA,"Bra023704","Bra024075","Bra017969","Bra024068",NA,"Bra028856",NA
"231",NA,NA,NA,"Bra023796,Bra023797","Bra024138,Bra024139","Bra018085","Bra024095",NA,"Bra028940",NA
"232",NA,NA,NA,"Bra024290,Bra024291,Bra024292,Bra024293,Bra024294","Bra024214","Bra018122","Bra024117",NA,"Bra028963",NA
"233",NA,NA,NA,"Bra024320,Bra024321","Bra024957,Bra024958,Bra024959","Bra018155,Bra018156","Bra024186,Bra024187",NA,"Bra028975",NA
"234",NA,NA,NA,"Bra024516","Bra025025","Bra018223","Bra024500",NA,"Bra029000",NA
"235",NA,NA,NA,"Bra024633","Bra025087,Bra025088","Bra018277","Bra024848",NA,"Bra029167",NA
"236",NA,NA,NA,"Bra024896","Bra025141,Bra025142","Bra018436","Bra024939",NA,"Bra029256",NA
"237",NA,NA,NA,"Bra025480","Bra025173","Bra018518","Bra025210",NA,"Bra029751",NA
"238",NA,NA,NA,"Bra025668","Bra025178,Bra025179,Bra025180,Bra025181","Bra018520","Bra025250",NA,"Bra029780",NA
"239",NA,NA,NA,"Bra025838,Bra025839","Bra025254","Bra018573","Bra025262",NA,"Bra029859",NA
"240",NA,NA,NA,"Bra025858","Bra025353","Bra018628","Bra025271",NA,"Bra029922",NA
"241",NA,NA,NA,"Bra025894,Bra025895","Bra025392","Bra018849","Bra025450",NA,"Bra029966",NA
"242",NA,NA,NA,"Bra025984","Bra025461","Bra018864","Bra025511,Bra025512,Bra025513",NA,"Bra030045,snoR74",NA
"243",NA,NA,NA,"Bra026028","Bra025505,Bra025506","Bra018900","Bra025676",NA,"Bra030292",NA
"244",NA,NA,NA,"Bra026058","Bra025534","Bra018995","Bra026136",NA,"Bra030561",NA
"245",NA,NA,NA,"Bra026126","Bra025612","Bra019026","Bra026246",NA,"Bra030786",NA
"246",NA,NA,NA,"Bra026128","Bra025785","Bra019178","Bra026360",NA,"Bra030791",NA
"247",NA,NA,NA,"Bra026194","Bra025827,Bra025828","Bra019193","Bra026431",NA,"Bra030879",NA
"248",NA,NA,NA,"Bra026338","Bra025844,Bra025845","Bra019307","Bra026465",NA,"Bra030922",NA
"249",NA,NA,NA,"Bra026484","Bra025905,tRNA-Asp","Bra019466,Bra019467","Bra026466",NA,"Bra031705",NA
"250",NA,NA,NA,"Bra026642","Bra025920,Bra025921,Bra025922","Bra019572","Bra027053,Bra027054",NA,"Bra032124",NA
"251",NA,NA,NA,"Bra026937,Bra026938","Bra025958","Bra019665","Bra027203",NA,"Bra032137",NA
"252",NA,NA,NA,"Bra027022","Bra026019","Bra019666","Bra027347,Bra027348,Bra027349",NA,"Bra032540",NA
"253",NA,NA,NA,"Bra027035","Bra026087","Bra019760","Bra027375,Bra027376",NA,"Bra032551",NA
"254",NA,NA,NA,"Bra027196","Bra026135","Bra019764","Bra027755",NA,"Bra032697",NA
"255",NA,NA,NA,"Bra027294","Bra026185,Bra026186","Bra019785,Bra019786","Bra027783,Bra027784",NA,"Bra033172",NA
"256",NA,NA,NA,"Bra027350","Bra026230","Bra019829","Bra028187",NA,"Bra033311",NA
"257",NA,NA,NA,"Bra027386","Bra026326","Bra019870","Bra028409",NA,"Bra033346",NA
"258",NA,NA,NA,"Bra027452","Bra026334","Bra019893","Bra028414,Bra028415",NA,"Bra033389",NA
"259",NA,NA,NA,"Bra027516","Bra026415","Bra019908","Bra028446",NA,"Bra033473",NA
"260",NA,NA,NA,"Bra027754","Bra026638","Bra019975","Bra028537",NA,"Bra033491",NA
"261",NA,NA,NA,"Bra027789,tRNA-Thr","Bra026649","Bra020042","Bra028568,Bra028569",NA,"Bra033706",NA
"262",NA,NA,NA,"Bra028124","Bra026734","Bra020137,Bra020138","Bra028689,tRNA-Leu",NA,"Bra033871",NA
"263",NA,NA,NA,"Bra028193","Bra027017","Bra020200","Bra028754",NA,"Bra034356",NA
"264",NA,NA,NA,"Bra028474","Bra027032,Bra027033","Bra020357","Bra028789",NA,"Bra034364",NA
"265",NA,NA,NA,"Bra028510","Bra027049","Bra020494,Bra020495","Bra028912",NA,"Bra034368,Bra034369",NA
"266",NA,NA,NA,"Bra028543","Bra027127","Bra020507","Bra029001",NA,"Bra034715,Bra034716",NA
"267",NA,NA,NA,"Bra028666","Bra027183,Bra027184","Bra020763","Bra029228,Bra029229",NA,"Bra034800",NA
"268",NA,NA,NA,"Bra028701","Bra027225","Bra020884","Bra029515",NA,"Bra035119",NA
"269",NA,NA,NA,"Bra028740","Bra027275,Bra027276,Bra027277","Bra021065","Bra029642",NA,"Bra035168",NA
"270",NA,NA,NA,"Bra028766,Bra028767","Bra027355,Bra027356","Bra021134","Bra029669,Bra029670",NA,"Bra035251",NA
"271",NA,NA,NA,"Bra029071","Bra027431","Bra021296","Bra029857",NA,"Bra035260,Bra035261",NA
"272",NA,NA,NA,"Bra029073","Bra027432","Bra021902,tRNA-Leu","Bra029986",NA,"Bra035298",NA
"273",NA,NA,NA,"Bra029289","Bra027527,Bra027528","Bra021913","Bra030181",NA,"Bra035413",NA
"274",NA,NA,NA,"Bra029355","Bra027723","Bra021961","Bra030228",NA,"Bra035565",NA
"275",NA,NA,NA,"Bra029472,Bra029473","Bra027792,Bra027793","Bra022151,Bra022152","Bra030319",NA,"Bra035785,Bra035786",NA
"276",NA,NA,NA,"Bra029493","Bra027866","Bra022182","Bra030331",NA,"Bra035803,Bra035804",NA
"277",NA,NA,NA,"Bra029591","Bra027961,Bra027962","Bra022189","Bra030446",NA,"Bra035819,Bra035820",NA
"278",NA,NA,NA,"Bra029620","Bra028000","Bra022219","Bra030984",NA,"Bra035847",NA
"279",NA,NA,NA,"Bra029638,Bra029639","Bra028141","Bra022241,Bra022242","Bra031330",NA,"Bra035939",NA
"280",NA,NA,NA,"Bra030092","Bra028181","Bra022310","Bra031351",NA,"Bra035980",NA
"281",NA,NA,NA,"Bra030244,Bra030245","Bra028357","Bra022553","Bra031413",NA,"Bra036117",NA
"282",NA,NA,NA,"Bra030405,Bra030406","Bra028404","Bra022574","Bra031623",NA,"Bra036169",NA
"283",NA,NA,NA,"Bra030585","Bra028483","Bra022600","Bra032135,Bra032136",NA,"Bra036448",NA
"284",NA,NA,NA,"Bra030673,Bra030674","Bra028524","Bra022813","Bra032147",NA,"Bra036611",NA
"285",NA,NA,NA,"Bra030790","Bra028624","Bra022836","Bra032191",NA,"Bra036625",NA
"286",NA,NA,NA,"Bra030885","Bra028651","Bra022938","Bra032315,Bra032316",NA,"Bra036709,Bra036710",NA
"287",NA,NA,NA,"Bra030908","Bra028710","Bra023018","Bra032344",NA,"Bra036823",NA
"288",NA,NA,NA,"Bra031093","Bra028809","Bra023023","Bra032392",NA,"Bra036992",NA
"289",NA,NA,NA,"Bra031165","Bra029067","Bra023129,Bra023130","Bra033025,Bra033026",NA,"Bra037068",NA
"290",NA,NA,NA,"Bra031347,Bra031348,Bra031349","Bra029099","Bra023365","Bra033069,Bra033070",NA,"Bra037306",NA
"291",NA,NA,NA,"Bra031389","Bra029140","Bra023409","Bra033199",NA,"Bra037696",NA
"292",NA,NA,NA,"Bra031490","Bra029697","Bra023431","Bra033224",NA,"Bra037787",NA
"293",NA,NA,NA,"Bra031789,Bra031790","Bra029712,Bra029713,Bra029714","Bra023432","Bra033254",NA,"Bra037799",NA
"294",NA,NA,NA,"Bra032018,Bra032019","Bra029923","Bra023434","Bra033255",NA,"Bra038600",NA
"295",NA,NA,NA,"Bra032082","Bra030220","Bra023549","Bra033323",NA,"Bra039013",NA
"296",NA,NA,NA,"Bra032101","Bra030306","Bra023688","Bra033472",NA,"Bra039014",NA
"297",NA,NA,NA,"Bra032134","Bra030576","Bra023766","Bra033597",NA,"Bra039041",NA
"298",NA,NA,NA,"Bra032332","Bra030587","Bra024089","Bra033701,Bra033702",NA,"Bra039066",NA
"299",NA,NA,NA,"Bra032664,Bra032665,Bra032666","Bra030607,Bra030608","Bra024136","Bra033746",NA,"Bra039094",NA
"300",NA,NA,NA,"Bra032707,Bra032708","Bra030664,Bra030665,Bra030666,tRNA-Gly","Bra024181","Bra033802",NA,"Bra039311,Bra039312,Bra039314,Bra039315",NA
"301",NA,NA,NA,"Bra032734","Bra030727,Bra030760,Bra030763","Bra024230,Bra024231","Bra033911",NA,"Bra039441",NA
"302",NA,NA,NA,"Bra032952","Bra030732","Bra024282","Bra034236,Bra034237",NA,"Bra039612",NA
"303",NA,NA,NA,"Bra032981","Bra030805,Bra030806","Bra024300","Bra034263,Bra034264",NA,"Bra039648",NA
"304",NA,NA,NA,"Bra033012","Bra030856","Bra024345,tRNA-Arg","Bra034466",NA,"Bra039708",NA
"305",NA,NA,NA,"Bra033415","Bra030858","Bra024474","Bra034620",NA,"Bra039713,Bra039714",NA
"306",NA,NA,NA,"Bra033533,Bra033534","Bra031011","Bra024547","Bra034710",NA,"Bra039740",NA
"307",NA,NA,NA,"Bra033545","Bra031044,Bra031045","Bra024579,Bra024580","Bra034828",NA,"Bra039975",NA
"308",NA,NA,NA,"Bra033735","Bra031146","Bra024615","Bra034873",NA,"Bra039999",NA
"309",NA,NA,NA,"Bra033757","Bra031183,Bra031184","Bra024635,Bra024636","Bra034897",NA,"Bra040117",NA
"310",NA,NA,NA,"Bra033879","Bra031261","Bra024776,Bra024777","Bra034989",NA,"Bra040120",NA
"311",NA,NA,NA,"Bra033999","Bra031272","Bra024819,Bra024820,Bra024821","Bra035022",NA,"Bra040197",NA
"312",NA,NA,NA,"Bra034179","Bra031785","Bra024899","Bra035049",NA,"Bra040955",NA
"313",NA,NA,NA,"Bra034643","Bra031802","Bra024934,Bra024935","Bra035213",NA,NA,NA
"314",NA,NA,NA,"Bra034758","Bra031869","Bra024936","Bra035365",NA,NA,NA
"315",NA,NA,NA,"Bra034815","Bra032255","Bra024964","Bra035446",NA,NA,NA
"316",NA,NA,NA,"Bra034834","Bra032548","Bra025037","Bra035721",NA,NA,NA
"317",NA,NA,NA,"Bra035008","Bra032727","Bra025081","Bra035848",NA,NA,NA
"318",NA,NA,NA,"Bra035095","Bra033053,Bra033054","Bra025162","Bra035864",NA,NA,NA
"319",NA,NA,NA,"Bra035219","Bra033056","Bra025212,Bra025213","Bra035916",NA,NA,NA
"320",NA,NA,NA,"Bra035296","Bra033195","Bra025223","Bra035994",NA,NA,NA
"321",NA,NA,NA,"Bra035544","Bra033214,Bra033215,Bra033216","Bra025276","Bra036001",NA,NA,NA
"322",NA,NA,NA,"Bra035649","Bra033218","Bra025309","Bra036155",NA,NA,NA
"323",NA,NA,NA,"Bra035734","Bra033249","Bra025376","Bra036233",NA,NA,NA
"324",NA,NA,NA,"Bra035881","Bra033282","Bra025660","Bra036252",NA,NA,NA
"325",NA,NA,NA,"Bra036234","Bra033402","Bra025671","Bra036606",NA,NA,NA
"326",NA,NA,NA,"Bra036247","Bra033442","Bra025675","Bra036699",NA,NA,NA
"327",NA,NA,NA,"Bra036321","Bra033451","Bra025733","Bra036740",NA,NA,NA
"328",NA,NA,NA,"Bra036490","Bra033489","Bra025847","Bra036804",NA,NA,NA
"329",NA,NA,NA,"Bra036580","Bra033540","Bra025856","Bra036827",NA,NA,NA
"330",NA,NA,NA,"Bra036585","Bra033747","Bra025865","Bra036883",NA,NA,NA
"331",NA,NA,NA,"Bra036618","Bra033832","Bra025989","Bra037042",NA,NA,NA
"332",NA,NA,NA,"Bra036669","Bra033837","Bra026017,Bra026018","Bra037055",NA,NA,NA
"333",NA,NA,NA,"Bra036764","Bra033859,Bra033860","Bra026036","Bra037273,Bra037274",NA,NA,NA
"334",NA,NA,NA,"Bra037080","Bra033981","Bra026191,Bra026192","Bra037358",NA,NA,NA
"335",NA,NA,NA,"Bra037164","Bra034383","Bra026222","Bra037386",NA,NA,NA
"336",NA,NA,NA,"Bra037177","Bra034404","Bra026231","Bra037405",NA,NA,NA
"337",NA,NA,NA,"Bra037200","Bra034566,Bra034569","Bra026253","Bra037651",NA,NA,NA
"338",NA,NA,NA,"Bra037337","Bra034580","Bra026370","Bra037832",NA,NA,NA
"339",NA,NA,NA,"Bra037777,tRNA-Val","Bra034589","Bra026613","Bra038011",NA,NA,NA
"340",NA,NA,NA,"Bra037844,tRNA-Met","Bra034729,Bra034731","Bra026946,Bra026947,Bra026948","Bra038024",NA,NA,NA
"341",NA,NA,NA,"Bra037962","Bra035281","Bra026954","Bra038081,Bra038082,Bra038083",NA,NA,NA
"342",NA,NA,NA,"Bra037976","Bra035486","Bra026969","Bra038091,Bra038092",NA,NA,NA
"343",NA,NA,NA,"Bra037984","Bra035563","Bra027090","Bra038165",NA,NA,NA
"344",NA,NA,NA,"Bra038157","Bra035836","Bra027252","Bra038166",NA,NA,NA
"345",NA,NA,NA,"Bra038318","Bra035839,Bra035875,Bra035883","Bra027403","Bra038168,Bra038169",NA,NA,NA
"346",NA,NA,NA,"Bra038688","Bra035973","Bra027607","Bra038233",NA,NA,NA
"347",NA,NA,NA,"Bra038714","Bra036074","Bra027662","Bra038298",NA,NA,NA
"348",NA,NA,NA,"Bra038957","Bra036243","Bra027698","Bra038424",NA,NA,NA
"349",NA,NA,NA,"Bra038964,Bra038966,Bra038967,Bra038968","Bra036258","Bra027877","Bra038489",NA,NA,NA
"350",NA,NA,NA,"Bra039057","Bra036365","Bra027893","Bra038825",NA,NA,NA
"351",NA,NA,NA,"Bra039109","Bra036409","Bra028011","Bra039018,Bra039019",NA,NA,NA
"352",NA,NA,NA,"Bra039144","Bra036615","Bra028033,Bra028034","Bra039300",NA,NA,NA
"353",NA,NA,NA,"Bra039149","Bra036763","Bra028401","Bra039323",NA,NA,NA
"354",NA,NA,NA,"Bra039151","Bra036931","Bra028419","Bra039407,Bra039408",NA,NA,NA
"355",NA,NA,NA,"Bra039174,Bra039175","Bra037091","Bra028459","Bra039579",NA,NA,NA
"356",NA,NA,NA,"Bra039212","Bra037167,Bra037168","Bra028506","Bra039683",NA,NA,NA
"357",NA,NA,NA,"Bra039321","Bra037181,Bra037182","Bra028542","Bra040162",NA,NA,NA
"358",NA,NA,NA,"Bra039578","Bra037380","Bra028849","Bra040234",NA,NA,NA
"359",NA,NA,NA,"Bra039678","Bra037409","Bra028853,Bra028854","Bra040518",NA,NA,NA
"360",NA,NA,NA,"Bra039748","Bra037439","Bra028953","Bra040540",NA,NA,NA
"361",NA,NA,NA,"Bra039816","Bra037476","Bra029193","Bra040749",NA,NA,NA
"362",NA,NA,NA,"Bra039818","Bra037501,Bra037502","Bra029292,Bra029293","Bra040958",NA,NA,NA
"363",NA,NA,NA,"Bra039865","Bra037623","Bra029325,Bra029326","Bra041021",NA,NA,NA
"364",NA,NA,NA,"Bra039911","Bra037669","Bra029362,Bra029363",NA,NA,NA,NA
"365",NA,NA,NA,"Bra039962","Bra038389","Bra029427",NA,NA,NA,NA
"366",NA,NA,NA,"Bra040050","Bra038621,Bra038622","Bra029486",NA,NA,NA,NA
"367",NA,NA,NA,"Bra040147","Bra038646","Bra029603",NA,NA,NA,NA
"368",NA,NA,NA,"Bra040306","Bra038666","Bra029802",NA,NA,NA,NA
"369",NA,NA,NA,"Bra040403","Bra038729","Bra029813,Bra029814",NA,NA,NA,NA
"370",NA,NA,NA,"Bra040409","Bra038805","Bra029871",NA,NA,NA,NA
"371",NA,NA,NA,"Bra040415","Bra038815","Bra029969,Bra029970",NA,NA,NA,NA
"372",NA,NA,NA,"Bra040757","Bra038942","Bra030031",NA,NA,NA,NA
"373",NA,NA,NA,"Bra040895","Bra039082","Bra030064",NA,NA,NA,NA
"374",NA,NA,NA,"Bra040992","Bra039113","Bra030082",NA,NA,NA,NA
"375",NA,NA,NA,"Bra041123","Bra039114","Bra030316",NA,NA,NA,NA
"376",NA,NA,NA,NA,"Bra039117","Bra030317",NA,NA,NA,NA
"377",NA,NA,NA,NA,"Bra039120","Bra030486",NA,NA,NA,NA
"378",NA,NA,NA,NA,"Bra039223","Bra031182",NA,NA,NA,NA
"379",NA,NA,NA,NA,"Bra039680","Bra031222",NA,NA,NA,NA
"380",NA,NA,NA,NA,"Bra039880","Bra031296",NA,NA,NA,NA
"381",NA,NA,NA,NA,"Bra039936","Bra031313,Bra031314",NA,NA,NA,NA
"382",NA,NA,NA,NA,"Bra039969","Bra031898",NA,NA,NA,NA
"383",NA,NA,NA,NA,"Bra040285","Bra031935,Bra031936",NA,NA,NA,NA
"384",NA,NA,NA,NA,"Bra040413","Bra031939,Bra031940",NA,NA,NA,NA
"385",NA,NA,NA,NA,"Bra040417","Bra031961",NA,NA,NA,NA
"386",NA,NA,NA,NA,"Bra040427","Bra032053,Bra032054",NA,NA,NA,NA
"387",NA,NA,NA,NA,"Bra040512,Bra040514","Bra032061",NA,NA,NA,NA
"388",NA,NA,NA,NA,"Bra040520","Bra032062",NA,NA,NA,NA
"389",NA,NA,NA,NA,"Bra040573","Bra032109",NA,NA,NA,NA
"390",NA,NA,NA,NA,"Bra040738","Bra032192",NA,NA,NA,NA
"391",NA,NA,NA,NA,"Bra040773","Bra032196",NA,NA,NA,NA
"392",NA,NA,NA,NA,"Bra040850","Bra032210",NA,NA,NA,NA
"393",NA,NA,NA,NA,NA,"Bra032366",NA,NA,NA,NA
"394",NA,NA,NA,NA,NA,"Bra032416",NA,NA,NA,NA
"395",NA,NA,NA,NA,NA,"Bra032484",NA,NA,NA,NA
"396",NA,NA,NA,NA,NA,"Bra032617",NA,NA,NA,NA
"397",NA,NA,NA,NA,NA,"Bra032622,Bra032623",NA,NA,NA,NA
"398",NA,NA,NA,NA,NA,"Bra032743,Bra032744",NA,NA,NA,NA
"399",NA,NA,NA,NA,NA,"Bra032954",NA,NA,NA,NA
"400",NA,NA,NA,NA,NA,"Bra033103",NA,NA,NA,NA
"401",NA,NA,NA,NA,NA,"Bra033248",NA,NA,NA,NA
"402",NA,NA,NA,NA,NA,"Bra033275,Bra033276",NA,NA,NA,NA
"403",NA,NA,NA,NA,NA,"Bra033368",NA,NA,NA,NA
"404",NA,NA,NA,NA,NA,"Bra033412",NA,NA,NA,NA
"405",NA,NA,NA,NA,NA,"Bra033413",NA,NA,NA,NA
"406",NA,NA,NA,NA,NA,"Bra033422",NA,NA,NA,NA
"407",NA,NA,NA,NA,NA,"Bra033467",NA,NA,NA,NA
"408",NA,NA,NA,NA,NA,"Bra033493",NA,NA,NA,NA
"409",NA,NA,NA,NA,NA,"Bra033511,tRNA-Lys",NA,NA,NA,NA
"410",NA,NA,NA,NA,NA,"Bra033578",NA,NA,NA,NA
"411",NA,NA,NA,NA,NA,"Bra033644",NA,NA,NA,NA
"412",NA,NA,NA,NA,NA,"Bra033713,Bra033714",NA,NA,NA,NA
"413",NA,NA,NA,NA,NA,"Bra033820",NA,NA,NA,NA
"414",NA,NA,NA,NA,NA,"Bra033968",NA,NA,NA,NA
"415",NA,NA,NA,NA,NA,"Bra034037,Bra034039,Bra034040",NA,NA,NA,NA
"416",NA,NA,NA,NA,NA,"Bra034144",NA,NA,NA,NA
"417",NA,NA,NA,NA,NA,"Bra034271",NA,NA,NA,NA
"418",NA,NA,NA,NA,NA,"Bra034297",NA,NA,NA,NA
"419",NA,NA,NA,NA,NA,"Bra034298",NA,NA,NA,NA
"420",NA,NA,NA,NA,NA,"Bra034441",NA,NA,NA,NA
"421",NA,NA,NA,NA,NA,"Bra034459",NA,NA,NA,NA
"422",NA,NA,NA,NA,NA,"Bra034573",NA,NA,NA,NA
"423",NA,NA,NA,NA,NA,"Bra034674",NA,NA,NA,NA
"424",NA,NA,NA,NA,NA,"Bra034736,Bra034737",NA,NA,NA,NA
"425",NA,NA,NA,NA,NA,"Bra034862,Bra034863",NA,NA,NA,NA
"426",NA,NA,NA,NA,NA,"Bra034864,Bra034865",NA,NA,NA,NA
"427",NA,NA,NA,NA,NA,"Bra034917",NA,NA,NA,NA
"428",NA,NA,NA,NA,NA,"Bra035042,Bra035043",NA,NA,NA,NA
"429",NA,NA,NA,NA,NA,"Bra035153",NA,NA,NA,NA
"430",NA,NA,NA,NA,NA,"Bra035186",NA,NA,NA,NA
"431",NA,NA,NA,NA,NA,"Bra035244",NA,NA,NA,NA
"432",NA,NA,NA,NA,NA,"Bra035360",NA,NA,NA,NA
"433",NA,NA,NA,NA,NA,"Bra035487,Bra035488",NA,NA,NA,NA
"434",NA,NA,NA,NA,NA,"Bra035658",NA,NA,NA,NA
"435",NA,NA,NA,NA,NA,"Bra035841",NA,NA,NA,NA
"436",NA,NA,NA,NA,NA,"Bra035880",NA,NA,NA,NA
"437",NA,NA,NA,NA,NA,"Bra036184",NA,NA,NA,NA
"438",NA,NA,NA,NA,NA,"Bra036193",NA,NA,NA,NA
"439",NA,NA,NA,NA,NA,"Bra036216",NA,NA,NA,NA
"440",NA,NA,NA,NA,NA,"Bra036251",NA,NA,NA,NA
"441",NA,NA,NA,NA,NA,"Bra036266",NA,NA,NA,NA
"442",NA,NA,NA,NA,NA,"Bra036518",NA,NA,NA,NA
"443",NA,NA,NA,NA,NA,"Bra036527",NA,NA,NA,NA
"444",NA,NA,NA,NA,NA,"Bra036528",NA,NA,NA,NA
"445",NA,NA,NA,NA,NA,"Bra036548",NA,NA,NA,NA
"446",NA,NA,NA,NA,NA,"Bra036599",NA,NA,NA,NA
"447",NA,NA,NA,NA,NA,"Bra036797",NA,NA,NA,NA
"448",NA,NA,NA,NA,NA,"Bra036840,Bra036841",NA,NA,NA,NA
"449",NA,NA,NA,NA,NA,"Bra036904",NA,NA,NA,NA
"450",NA,NA,NA,NA,NA,"Bra036908",NA,NA,NA,NA
"451",NA,NA,NA,NA,NA,"Bra036935",NA,NA,NA,NA
"452",NA,NA,NA,NA,NA,"Bra037160",NA,NA,NA,NA
"453",NA,NA,NA,NA,NA,"Bra037191",NA,NA,NA,NA
"454",NA,NA,NA,NA,NA,"Bra037196",NA,NA,NA,NA
"455",NA,NA,NA,NA,NA,"Bra037389",NA,NA,NA,NA
"456",NA,NA,NA,NA,NA,"Bra037412",NA,NA,NA,NA
"457",NA,NA,NA,NA,NA,"Bra037460",NA,NA,NA,NA
"458",NA,NA,NA,NA,NA,"Bra037655",NA,NA,NA,NA
"459",NA,NA,NA,NA,NA,"Bra037731",NA,NA,NA,NA
"460",NA,NA,NA,NA,NA,"Bra037761",NA,NA,NA,NA
"461",NA,NA,NA,NA,NA,"Bra037862",NA,NA,NA,NA
"462",NA,NA,NA,NA,NA,"Bra037888",NA,NA,NA,NA
"463",NA,NA,NA,NA,NA,"Bra038032",NA,NA,NA,NA
"464",NA,NA,NA,NA,NA,"Bra038040",NA,NA,NA,NA
"465",NA,NA,NA,NA,NA,"Bra038098,Bra038099",NA,NA,NA,NA
"466",NA,NA,NA,NA,NA,"Bra038209",NA,NA,NA,NA
"467",NA,NA,NA,NA,NA,"Bra038470",NA,NA,NA,NA
"468",NA,NA,NA,NA,NA,"Bra038613",NA,NA,NA,NA
"469",NA,NA,NA,NA,NA,"Bra038636",NA,NA,NA,NA
"470",NA,NA,NA,NA,NA,"Bra038649,Bra038650",NA,NA,NA,NA
"471",NA,NA,NA,NA,NA,"Bra038863",NA,NA,NA,NA
"472",NA,NA,NA,NA,NA,"Bra038946",NA,NA,NA,NA
"473",NA,NA,NA,NA,NA,"Bra039048",NA,NA,NA,NA
"474",NA,NA,NA,NA,NA,"Bra039216",NA,NA,NA,NA
"475",NA,NA,NA,NA,NA,"Bra039270",NA,NA,NA,NA
"476",NA,NA,NA,NA,NA,"Bra039557",NA,NA,NA,NA
"477",NA,NA,NA,NA,NA,"Bra039661",NA,NA,NA,NA
"478",NA,NA,NA,NA,NA,"Bra039831",NA,NA,NA,NA
"479",NA,NA,NA,NA,NA,"Bra039837",NA,NA,NA,NA
"480",NA,NA,NA,NA,NA,"Bra039925",NA,NA,NA,NA
"481",NA,NA,NA,NA,NA,"Bra040011",NA,NA,NA,NA
"482",NA,NA,NA,NA,NA,"Bra040100",NA,NA,NA,NA
"483",NA,NA,NA,NA,NA,"Bra040211",NA,NA,NA,NA
"484",NA,NA,NA,NA,NA,"Bra040582",NA,NA,NA,NA
"485",NA,NA,NA,NA,NA,"Bra040771",NA,NA,NA,NA
"486",NA,NA,NA,NA,NA,"Bra040933",NA,NA,NA,NA
"487",NA,NA,NA,NA,NA,"Bra040987",NA,NA,NA,NA
"488",NA,NA,NA,NA,NA,"Bra041108",NA,NA,NA,NA
"489",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"491",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"492",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"493",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"494",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"495",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"496",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"497",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"498",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"499",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"501",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"502",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"503",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"504",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"505",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"506",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"507",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"508",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"509",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"510",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"511",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"512",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"513",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"514",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"515",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"516",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"517",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"518",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"521",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"522",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"523",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
