"","Photo","gs","Starch","NSC","SM","fluor","M1","M2","M3","M4","M5","M6","M7","M8","M9","M10"
"53","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","0","-1","0","1","0","-1","-1","-1","1","1"
"54","(5.33,10]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","0","-1","0","1","0","-1","-1","0","1","1"
"55","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","-1","0","1","0","-1","-1","0","1","1"
"56","(10,14.7]","(0.274,0.406]","[1.89,21.1]","(1.27,2.29]","(29.6,38.4]","[0.706,0.764]","1","0","1","1","0","-1","-1","0","1","1"
"57","(10,14.7]","(0.274,0.406]","(21.1,40.1]","(1.27,2.29]","(38.4,47.2]","[0.706,0.764]","1","0","1","1","0","-1","0","0","1","1"
"58","(10,14.7]","(0.406,0.538]","[1.89,21.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","0","1","1","1","0","0","1","1","1"
"59","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","1","0","1","1","1","0","0","1","1","1"
"60","(10,14.7]","(0.406,0.538]","(21.1,40.1]","(2.29,3.3]","(38.4,47.2]","[0.337,0.706)","1","1","1","1","1","0","1","1","1","1"
"85","(10,14.7]","[0.00895,0.142]","(21.1,40.1]","(3.3,4.32]","(38.4,47.2]","[0.706,0.764]","-1","-1","-1","0","0","-1","-1","-1","0","-1"
"86","(14.7,19.4]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","-1","0","0","0","-1","-1","-1","0","-1"
"87","(5.33,10]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","-1","0","0","0","-1","-1","-1","0","-1"
"88","(10,14.7]","[0.00895,0.142]","(40.1,59.2]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","0","0","0","0","-1","-1","-1","1","-1"
"89","(14.7,19.4]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","0","0","0","0","-1","-1","-1","1","0"
"90","(10,14.7]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","0","0","0","0","1","-1","-1","-1","1","0"
"91","(0.638,5.33]","(0.142,0.274]","(40.1,59.2]","(3.3,4.32]","(20.7,29.6]","[0.337,0.706)","0","0","0","1","1","-1","0","0","1","0"
"92","(5.33,10]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","0","1","1","1","1","-1","0","0","1","0"
"93","(0.638,5.33]","(0.142,0.274]","(40.1,59.2]","(3.3,4.32]","(20.7,29.6]","[0.337,0.706)","1","1","1","1","1","0","0","0","1","0"
"94","(0.638,5.33]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","1","1","1","1","1","0","0","0","1","0"
"95","(0.638,5.33]","(0.274,0.406]","(40.1,59.2]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","1","1","1","1","1","0","0","0","1","1"
"96","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","1","1","1","0","1","1","1","1"
"73","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","-1","-1","0","0","-1","-1","-1","-1","0","-1"
"74","(10,14.7]","(0.274,0.406]","(78.3,97.4]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","-1","-1","0","0","0","-1","-1","-1","1","-1"
"75","(5.33,10]","(0.142,0.274]","(40.1,59.2]","(3.3,4.32]","(29.6,38.4]","[0.706,0.764]","0","0","0","0","0","-1","-1","-1","1","-1"
"76","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(4.32,5.34]","(29.6,38.4]","[0.337,0.706)","0","0","0","0","0","-1","-1","-1","1","-1"
"77","(5.33,10]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.337,0.706)","0","0","1","1","0","-1","-1","-1","1","-1"
"78","(5.33,10]","(0.142,0.274]","(59.2,78.3]","(3.3,4.32]","(29.6,38.4]","[0.337,0.706)","0","0","1","1","1","-1","-1","-1","1","-1"
"79","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(3.3,4.32]","(20.7,29.6]","[0.706,0.764]","0","1","1","1","1","-1","-1","-1","1","-1"
"80","(0.638,5.33]","(0.142,0.274]","(40.1,59.2]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","0","1","1","1","1","-1","-1","-1","1","0"
"81","(0.638,5.33]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.706,0.764]","0","1","1","1","1","0","0","0","1","0"
"82","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","1","1","1","1","0","0","0","1","0"
"83","(5.33,10]","(0.274,0.406]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","[0.337,0.706)","1","1","1","1","1","0","0","0","1","0"
"84","(5.33,10]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(20.7,29.6]","[0.706,0.764]","1","1","1","1","1","1","0","1","1","1"
"109","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","(1.27,2.29]","(20.7,29.6]","0.000","-1","-1","0","-1","0","-1","-1","-1","-1","-1"
"110","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(20.7,29.6]","0.000","-1","-1","0","-1","0","0","-1","-1","-1","-1"
"111","[-4.07,0.638]","(0.142,0.274]","[1.89,21.1]","[0.254,1.27]","(20.7,29.6]","0.000","-1","-1","0","-1","0","0","-1","0","0","-1"
"112","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","(2.29,3.3]","(20.7,29.6]","0.000","-1","-1","0","-1","1","0","-1","0","0","0"
"113","[-4.07,0.638]","(0.142,0.274]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","0.000","-1","-1","1","-1","1","0","-1","0","0","0"
"114","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","-1","1","-1","1","1","-1","1","0","0"
"115","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(20.7,29.6]","0.000","-1","-1","1","-1","1","1","-1","1","0","0"
"116","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","0.000","-1","-1","1","0","1","1","0","1","0","0"
"117","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(1.27,2.29]","(11.9,20.7]","0.000","-1","-1","1","0","1","1","0","1","0","1"
"118","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(2.29,3.3]","(20.7,29.6]","0.000","-1","-1","1","0","1","1","0","1","0","1"
"119","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(11.9,20.7]","0.000","0","0","1","0","1","1","0","1","1","1"
"120","[-4.07,0.638]","[0.00895,0.142]","[1.89,21.1]","(1.27,2.29]","(20.7,29.6]","0.000","0","0","1","1","1","1","1","1","1","1"
"97","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","[0.254,1.27]","(29.6,38.4]","0.000","-1","-1","0","-1","-1","-1","-1","-1","0","-1"
"98","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","0","-1","0","-1","-1","-1","0","-1"
"99","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","1","-1","0","0","-1","-1","0","-1"
"100","[-4.07,0.638]","(0.142,0.274]","(40.1,59.2]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","1","-1","1","0","-1","-1","0","-1"
"101","[-4.07,0.638]","(0.142,0.274]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","1","0","1","0","-1","-1","0","-1"
"102","[-4.07,0.638]","[0.00895,0.142]","(21.1,40.1]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","1","0","1","0","-1","0","1","0"
"103","[-4.07,0.638]","[0.00895,0.142]","(40.1,59.2]","(2.29,3.3]","(29.6,38.4]","0.000","-1","-1","1","0","1","0","-1","0","1","0"
