"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra021063",2.43297,2.3391,0.629725,0.584323,4.12694,6.33842,4.50427,4.54797,5.3275,6.16679,6.09141,6.96565,2.11127,3.26649,1.2485,1.29783,5.23537,6.87663,7.14535,8.07833,2.84701,4.24874,4.11192,4.2235,4.1655,2.34788,0.692295,1.09829,4.132,4.08001,4.51866,5.09388,3.47896,5.25394,3.76248,5.93885,2.1721,2.41977,1.10084,0.690625,4.33837,5.17875,5.42047,5.68636,4.23339,4.31046,4.8416,5.03569
"Bra021065",20.1109,26.8214,16.0136,21.5316,19.7982,26.2475,22.872,28.6835,31.2109,33.1035,30.4712,46.4156,24.512,28.4565,19.0927,21.9501,20.4022,30.1544,28.9831,26.3921,27.5672,27.4648,35.2841,39.9798,29.8738,32.1718,24.8262,34.808,24.3336,21.9013,23.6909,27.3427,25.5101,35.466,35.8722,39.2648,28.2559,28.1665,25.5224,37.8873,17.5498,18.2916,26.1112,36.3259,27.4144,36.7065,30.7059,39.1181
"Bra021067",14.2416,13.5601,12.7042,14.1265,13.4323,12.8634,11.7167,11.7448,11.0553,11.6893,14.5294,15.409,13.7995,14.2604,12.1904,14.099,13.4591,18.1063,12.2437,11.6472,9.6219,9.43136,11.995,14.6074,10.5926,12.6923,12.81,12.0518,14.31,13.0452,10.8736,7.92646,12.0491,9.1116,12.9736,12.0026,10.6265,15.175,11.362,9.91707,13.3925,14.6023,11.6258,14.1332,10.5101,9.69908,15.0588,14.6228
"Bra021068,Bra021069",4.84192,4.56545,5.32673,5.09914,6.34455,7.07574,6.44753,7.18789,4.56526,6.08936,4.25561,5.36242,5.03858,5.54655,6.18156,5.0422,6.82459,9.05076,7.37273,7.22789,5.22101,6.65452,5.34311,5.31882,3.82977,4.86793,6.1277,5.69776,7.90914,6.65465,5.84846,5.88908,3.95695,5.2267,4.24055,3.5575,4.21113,4.9762,5.39224,8.82505,6.7138,7.67424,5.32307,6.41157,4.90274,6.23324,4.76602,4.93675
"Bra021075",0.221664,0.209663,1.02973,0.187748,0,0,0.634608,0.671302,1.77219,0.742616,1.49919,1.09656,0.194461,0.214508,0.430758,0.683268,0.405744,0,0,0.180669,2.24688,0.871092,1.33246,0.48232,0,0,0.628559,0.197492,0.553182,0,1.15208,0,0.349665,0.420818,1.38138,0.392926,0.192412,0,0,0,0.185555,0.523898,0.155538,0.480621,0.83474,0.880852,0.877532,1.25092
"Bra021079",13.6827,9.00175,9.86639,9.00925,11.5928,12.2143,14.9353,11.4007,15.7741,14.435,15.724,12.566,12.3334,8.24392,10.5094,9.41227,11.2966,9.14719,10.6625,9.66209,17.3426,12.8226,10.7824,10.3821,13.8456,11.6863,9.90539,10.1299,14.2215,11.948,13.4226,13.3353,16.0166,16.5635,15.1649,13.4763,14.3131,13.443,10.7664,15.5493,12.8504,11.3445,12.5117,9.42815,15.3135,16.4723,15.0018,14.1422
"Bra021082",2.46362,2.62534,11.4507,5.31056,1.87746,1.99788,0.912257,0.450612,0.310101,0.457229,0.410032,0.275581,2.74463,1.63344,16.7546,27.5573,4.59512,6.90794,2.95125,1.45036,0.996492,1.28253,1.97686,0.303872,0.837493,0.773067,5.27251,3.95814,2.44888,1.07468,0.47536,0.767076,0,0.0937059,0.460109,0.557769,1.26437,2.03752,8.46656,11.1843,3.31554,1.99995,1.19928,0.901973,1.36645,0.434657,2.39412,0.412823
"Bra021099",6.0046,5.53067,4.70144,3.97795,4.6028,4.39739,5.87984,5.754,3.62117,4.80157,4.33077,4.98774,5.85174,6.13339,4.24671,3.78147,4.22297,4.20008,8.7657,8.63256,4.48464,4.88548,5.2609,5.95072,5.5521,5.09477,4.72249,4.18599,4.05123,3.07412,5.7169,5.63602,3.49696,4.06128,5.35288,6.19705,7.08639,6.56768,3.91194,3.6562,3.86001,4.03,4.86855,5.81371,4.57142,4.16456,5.661,6.39708
"Bra021100",10.327,7.24939,1.06637,1.27449,0.893615,0.95611,2.68756,1.74207,7.87155,7.04845,11.6133,11.8447,8.87845,9.46854,0.776755,1.06686,0.763563,0.86555,3.08451,2.9093,6.82278,6.57946,11.0416,8.91193,9.23983,9.08709,1.04669,1.16051,1.30336,1.03101,3.34806,2.23336,8.38097,9.86031,13.2157,9.53014,11.5927,10.0056,1.78919,1.04153,0.717521,1.02607,2.56629,2.8009,7.68212,7.49383,12.9985,10.4087
"Bra021110",1.39583,0.984627,10.0542,7.32974,7.05182,9.46939,5.62473,4.32216,1.67906,1.32556,0.481566,0.790323,1.35695,0.512993,9.30249,6.43609,11.2804,8.58503,6.29176,7.76897,3.92002,1.38736,0.571764,1.61173,0.78937,1.4839,9.08013,8.69771,16.1599,15.2969,6.8204,8.27393,3.21669,3.66699,1.00201,0.599524,0.619303,0.811115,8.26053,5.17355,9.84248,11.2942,7.0688,7.74438,2.56472,2.77704,1.39168,1.41672
"Bra021121",19.0919,23.6717,16.0355,14.22,23.0292,31.0605,22.1902,24.6913,28.3365,32.4621,39.5876,51.2071,31.2151,24.0245,13.9223,12.0502,11.5753,14.4244,11.3569,13.8943,19.3305,24.7234,23.3537,30.6295,26.582,20.9675,13.1572,15.2587,18.5511,22.7614,21.4293,23.1934,26.1734,32.8634,22.384,32.4289,14.694,24.8857,15.7309,12.3758,15.4577,21.1987,17.5529,24.9252,20.0973,22.7023,24.1034,32.2808
"Bra021122",4.91495,4.84003,2.91297,3.47946,2.97026,3.61257,2.27679,2.07793,1.09264,1.04294,1.11165,1.03767,5.50164,5.11558,5.83012,6.06007,3.22231,4.54803,3.3774,4.32676,1.07103,0.808694,1.46531,1.02069,2.94641,4.19622,3.90953,3.86298,4.02031,5.06854,3.25775,2.48099,1.11861,1.09056,1.80224,1.29268,3.30515,4.34887,7.55679,5.27254,3.85667,3.57932,2.38543,3.60612,1.43862,1.05907,1.30359,1.67973
"Bra021123",69.2048,74.6413,74.5376,75.5109,64.4096,89.4899,56.6235,56.6866,43.0397,51.7666,36.5591,46.2354,69.2957,74.1441,96.4101,96.2416,83.6176,78.6407,63.0622,69.9479,52.7227,49.4216,40.719,48.4244,66.846,59.1549,80.9537,78.5373,78.8719,88.3463,61.1556,66.3942,47.195,57.0095,38.7577,47.8332,58.7492,67.6228,86.061,84.871,79.9694,78.7937,60.4156,59.7637,46.7552,40.0509,42.5284,34.2747
"Bra021132",60.6909,62.4478,52.7498,55.8352,41.8504,46.0378,50.7277,52.9214,28.5774,29.8283,42.1528,46.2062,70.6168,67.1397,66.0529,73.1448,45.2159,57.4839,60.5552,62.7913,34.5599,34.8749,42.8804,53.2447,63.4994,55.7526,55.6961,56.1812,45.0038,35.3459,51.6882,45.1922,30.6709,28.46,42.2987,42.3269,64.7934,60.0259,75.4856,57.3023,43.7396,37.4036,48.4066,49.524,38.981,31.7178,46.2022,43.4495
