"","D1_rep1","D1_rep2","D2_rep1","D2_rep2","D3_rep1","D3_rep2","D4_rep1","D4_rep2","D5_rep1","D5_rep2","D6_rep1","D6_rep2","D7_rep1","D7_rep2","D8_rep1","D8_rep2","D9_rep1","D9_rep2","D10_rep1","D10_rep2","D11_rep1","D11_rep2","D12_rep1","D12_rep2","W1_rep1","W1_rep2","W2_rep1","W2_rep2","W3_rep1","W3_rep2","W4_rep1","W4_rep2","W5_rep1","W5_rep2","W6_rep1","W6_rep2","W7_rep1","W7_rep2","W8_rep1","W8_rep2","W9_rep1","W9_rep2","W10_rep1","W10_rep2","W11_rep1","W11_rep2","W12_rep1","W12_rep2"
"Bra023249",39.5355,53.1354,42.8166,42.5766,55.6729,68.7166,50.7702,60.9414,50.1468,62.6289,51.3121,66.6207,66.5357,74.2327,50.9198,56.5639,48.2769,66.4238,41.9617,54.4738,54.3682,61.8179,43.1801,43.3077,56.0933,53.1591,42.0534,46.6466,48.5915,67.9562,55.7106,54.6913,57.657,64.0179,40.4677,48.0402,45.5252,60.1851,59.5815,59.8417,47.5646,53.9125,51.5711,49.2185,52.0935,49.8476,39.4857,34.9399
"Bra023254",13.7977,21.1578,5.83673,6.05994,4.90665,5.18124,6.9747,7.14541,4.47515,5.75581,3.50849,4.03438,14.3204,16.7725,8.28616,9.58617,5.06357,8.00668,7.03168,5.66047,6.08258,6.09905,4.99402,6.91377,11.6587,13.786,5.77734,8.25428,5.46025,7.85668,6.21943,6.34518,5.66273,3.48413,6.11699,5.1763,12.7282,14.7344,8.49598,7.69901,4.98454,4.58677,6.84486,5.57005,5.831,2.84537,5.16048,3.5198
"Bra023327",3.15912,2.79228,1.7094,2.46519,1.14107,1.38478,1.99888,2.47355,1.56927,1.87669,2.10436,2.61464,2.18856,2.71354,2.32599,2.19031,1.60765,2.32319,2.50829,2.63962,1.30886,2.07328,1.73563,2.5007,1.79523,2.78892,1.89129,1.7626,1.55306,1.13678,1.61745,1.26159,1.51664,1.41314,1.99357,2.19131,2.10917,2.34532,1.81582,1.93354,1.28808,0.954323,2.11013,1.9204,1.52397,1.46238,2.83936,1.75618
"Bra023365",13.2479,14.8249,13.439,16.3788,7.65669,11.2981,9.51577,11.0131,12.6508,16.5501,12.0226,16.4834,18.0303,22.8452,13.8338,16.2761,17.8953,15.7563,8.93162,10.5747,11.3451,12.5997,11.6505,12.3694,14.4093,9.7391,11.8875,11.222,9.13322,9.36298,6.65817,12.0483,11.1234,10.6556,12.4068,16.5589,12.1996,13.6754,11.9968,14.4767,9.34242,10.0836,10.4875,9.56408,13.2676,11.0169,9.96872,8.88389
"Bra023378",3.83132,3.88208,3.355,4.7379,4.49678,7.24784,2.28703,3.89489,4.01961,4.44751,3.47289,3.30327,2.40319,3.01527,3.64424,3.75711,3.08618,3.10271,1.55813,2.42369,3.38973,5.28339,2.1904,3.89516,6.32406,5.56886,5.03637,4.20181,5.75071,7.18108,2.75693,3.22003,3.41514,5.90762,4.66473,5.91923,2.51015,3.58728,4.9081,4.57437,2.42457,6.66356,1.91979,3.07471,3.37459,3.91157,3.52458,4.83727
"Bra023392",32.3116,26.1076,24.3252,20.9511,37.5724,31.9234,36.0016,35.7097,28.7744,31.0831,15.6177,9.79911,12.5107,18.9282,9.53222,7.11841,13.9417,11.2683,7.65907,13.5194,22.537,28.0617,11.2447,12.9634,34.1629,33.3496,25.0406,27.3502,31.0124,32.4913,33.8086,40.4747,38.2894,42.6906,25.6737,15.8323,20.05,17.0843,15.3831,12.6692,18.9525,22.2736,16.1435,18.3085,29.7756,27.5803,17.8913,24.5191
"Bra023413",22.4793,20.5369,30.71,25.7951,27.7842,22.8236,32.9364,25.1368,26.9969,21.8656,23.8051,23.2545,28.626,24.9502,27.8421,27.5864,33.264,32.7179,30.7716,31.0285,34.4832,25.3838,27.1991,23.851,24.7363,26.7123,30.7401,31.5006,28.3349,30.2634,32.5066,33.4491,30.3459,29.8586,25.7183,33.882,25.4921,31.7703,32.7223,32.7802,32.9485,35.0629,37.8799,30.3653,31.5024,35.5902,32.6853,21.6927
"Bra023418",635.428,526.615,530.93,406.394,663.385,684.655,662.917,584.991,792.513,706.725,574.672,538.158,425.26,396.631,357.785,261.914,388.349,326.305,377.117,358.056,640.186,570.73,509.711,486.627,968.656,687.257,619.528,672.124,668.015,599.193,718.836,679.137,829.644,789.34,763.775,598.015,656.077,523.481,616.219,481.272,510.487,470.434,476.665,476.006,701.044,649.378,693.666,627.147
"Bra023432",14.041,11.9907,12.5114,12.8471,7.86775,6.98969,7.47241,9.57988,9.92284,10.5706,9.08982,8.35828,11.9774,11.896,6.63647,7.64437,9.14227,8.6906,11.7025,8.95344,10.861,11.1747,10.7713,9.84464,8.28059,22.2352,8.32231,19.5531,10.2133,6.7671,11.3093,13.9681,13.9809,14.8664,13.0102,14.2271,14.1257,12.6657,10.8714,13.1678,9.60224,9.3037,11.383,10.743,17.1836,21.8899,14.2218,15.2937
"Bra023492",248.45,235.185,254.093,211.333,237.142,296.732,289.504,273.519,304.014,288.635,266.667,248.226,162.418,188.653,153.271,132.155,165.367,174.359,176.721,180.353,288.617,306.525,291.461,254.694,369.471,311.967,298.726,334.127,299.516,301.325,325.973,347.762,329.889,387.698,337.165,288.524,253.751,271.04,229.088,243.552,238.342,246.974,221.379,211.8,279.683,310.97,350.218,316.355
