"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45"
"39","Bra009649","Bra013329",NA,NA,"Bra013436",NA,"Bra024366,Bra024367","Bra009948,Bra009949","Bra015199",NA,NA,"Bra011668",NA,"Bra027237",NA,NA,NA,"Bra017684",NA,NA,"Bra000424",NA,"Bra015433","Bra018723",NA,NA,NA,NA,NA,NA,"Bra032635,Bra032636",NA,NA,NA,NA,NA,"Bra038081,Bra038082,Bra038083",NA,NA,NA,NA,"Bra036120",NA,NA,"Bra014361"
"40","Bra018039","Bra013853",NA,NA,"Bra006283",NA,"Bra035101","Bra034715,Bra034716","Bra024103",NA,NA,"Bra006051",NA,"Bra001422",NA,NA,NA,"Bra009600",NA,NA,"Bra037777,tRNA-Val",NA,"Bra000898","Bra039018,Bra039019",NA,NA,NA,NA,NA,NA,"Bra025007",NA,NA,NA,NA,NA,"Bra028411",NA,NA,NA,NA,"Bra032122",NA,NA,"Bra015781"
"41","Bra021314","Bra040598",NA,NA,"Bra023848",NA,"Bra037680,Bra037682","Bra012462","Bra020828",NA,NA,"Bra025363",NA,"Bra038899",NA,NA,NA,"Bra015298",NA,NA,"Bra005261",NA,"Bra024729","Bra034828",NA,NA,NA,NA,NA,NA,"Bra020607",NA,NA,NA,NA,NA,"Bra002221",NA,NA,NA,NA,"Bra004324",NA,NA,"Bra030316"
"42","Bra007802","Bra002655,Bra002656",NA,NA,"Bra001136",NA,"Bra008766","Bra022693","Bra009756",NA,NA,"Bra004508",NA,"Bra001641,Bra001643",NA,NA,NA,"Bra015954",NA,NA,"Bra004023",NA,"Bra019784","Bra000044",NA,NA,NA,NA,NA,NA,"Bra011767",NA,NA,NA,NA,NA,"Bra013013",NA,NA,NA,NA,"Bra036258",NA,NA,"Bra016016,Bra016017"
"43","Bra000054","Bra008903,Bra008904",NA,NA,"Bra026998",NA,"Bra012339","Bra000302,Bra000303","Bra006304",NA,NA,"Bra022425",NA,"Bra009140",NA,NA,NA,"Bra007924",NA,NA,"Bra004587",NA,"Bra005135","Bra011196",NA,NA,NA,NA,NA,NA,"Bra028525",NA,NA,NA,NA,NA,"Bra002043",NA,NA,NA,NA,"Bra025534",NA,NA,"Bra004057,Bra004058,Bra004059,Bra004060"
"44","Bra034589","Bra018828",NA,NA,"Bra018277",NA,"Bra006052","Bra000610","Bra033480",NA,NA,"Bra008540",NA,"Bra019686,Bra019688,Bra019689,Bra019690",NA,NA,NA,"Bra022600",NA,NA,"Bra001735",NA,"Bra028183","Bra003775",NA,NA,NA,NA,NA,NA,"Bra008638",NA,NA,NA,NA,NA,"Bra022743",NA,NA,NA,NA,"Bra001415",NA,NA,"Bra007738"
"45","Bra020188","Bra002890",NA,NA,"Bra028837",NA,"Bra009644","Bra033455","Bra031896",NA,NA,"Bra031635",NA,"Bra000875,Bra000876",NA,NA,NA,"Bra023619",NA,NA,"Bra023971",NA,"Bra012697","Bra014661",NA,NA,NA,NA,NA,NA,"Bra037119",NA,NA,NA,NA,NA,"Bra004510",NA,NA,NA,NA,"Bra036409",NA,NA,"Bra000538"
"46","Bra039880","Bra007275,Bra007276,Bra007277",NA,NA,"Bra022867",NA,"Bra008627","Bra001223","Bra011409",NA,NA,"Bra018857",NA,"Bra004101",NA,NA,NA,"Bra003034",NA,NA,"Bra023704",NA,"Bra039664","Bra018369",NA,NA,NA,NA,NA,NA,"Bra000620",NA,NA,NA,NA,NA,"Bra025682",NA,NA,NA,NA,"Bra004639",NA,NA,"Bra031296"
"47",NA,"Bra011186",NA,NA,"Bra034297",NA,"Bra033438","Bra036243","Bra021672,tRNA-Ala",NA,NA,"Bra012651",NA,NA,NA,NA,NA,"Bra036252",NA,NA,"Bra008116,Bra008117",NA,"Bra039578","Bra015000",NA,NA,NA,NA,NA,NA,"Bra027373",NA,NA,NA,NA,NA,"Bra000914",NA,NA,NA,NA,"Bra005134",NA,NA,"Bra015741,Bra015742"
"48",NA,"Bra023900",NA,NA,"Bra028470",NA,"Bra033540","Bra021658,Bra021659,Bra021660","Bra036175",NA,NA,"Bra022067",NA,NA,NA,NA,NA,"Bra029801,tRNA-Phe",NA,NA,"Bra015798,Bra015799",NA,"Bra014136","Bra010815",NA,NA,NA,NA,NA,NA,"Bra013339",NA,NA,NA,NA,NA,"Bra007301,Bra007302",NA,NA,NA,NA,"Bra026243",NA,NA,"Bra024776,Bra024777"
